ridge_alpha,mean_cv_rmse,std_cv_rmse,rank
10.0,0.01563473219258299,0.0003053351535607751,1
5.623413251903491,0.015634758897606564,0.00030543773440120503,2
17.78279410038923,0.015634848915832934,0.00030536605522417414,3
3.1622776601683795,0.01563489789399267,0.0003056231457965625,4
1.7782794100389228,0.015635092215610706,0.00030582701695792264,5
31.622776601683793,0.015635129268981494,0.0003055519310254099,6
1.0,0.015635281010984676,0.00030600145990311,7
0.5623413251903491,0.015635429259920054,0.000306128612241102,8
0.31622776601683794,0.01563553103870215,0.00030621218294944074,9
0.1778279410038923,0.01563559535904546,0.0003062636822254281,10
56.23413251903491,0.015635630332975985,0.00030589820055123895,11
0.1,0.015635634043982688,0.00030629421296573704,12
0.05623413251903491,0.015635656648215188,0.00030631190721889135,13
0.03162277660168379,0.015635669638755293,0.00030632202908522846,14
0.01778279410038923,0.015635677034104206,0.00030632777631698553,15
0.01,0.01563568122169822,0.00030633102588887375,16
0.005623413251903491,0.015635683585752243,0.0003063328588766986,17
0.0031622776601683794,0.01563568491807709,0.0003063338914243328,18
0.0017782794100389228,0.01563568566822368,0.000306334472633366,19
0.001,0.01563568609035506,0.00030633479965002524,20
100.0,0.01563653638676406,0.0003064115865250232,21
177.82794100389228,0.015638239899727128,0.00030709879493720635,22
316.22776601683796,0.015641343598053144,0.00030796933328272754,23
562.341325190349,0.015646878118778337,0.00030908637596905084,24
1000.0,0.015657394217356183,0.00031064295038491836,25
